Date,0M,1M,2M,3M,4M,5M,6M,7M
2016-01-20,27.59,24.58214285714286,23.855,23.5125,23.212500000000002,23.18357142857143,23.178571428571427,23.185
2016-01-21,26.69,24.860714285714284,23.983571428571427,23.6,23.29642857142857,23.252857142857145,23.267857142857142,23.24642857142857
2016-01-22,22.34,22.587500000000002,22.140714285714285,22.025,21.89107142857143,21.985,22.09642857142857,22.215
2016-01-25,24.15,23.782142857142855,23.072857142857142,22.82142857142857,22.601785714285715,22.617857142857144,22.651785714285715,22.689285714285713
2016-01-26,22.5,22.7,22.185000000000002,22.060714285714287,21.9375,22.01857142857143,22.0875,22.177857142857142
2016-01-27,23.11,23.410714285714285,22.817857142857143,22.589285714285715,22.461607142857144,22.49285714285714,22.498214285714287,22.560714285714287
2016-01-28,22.42,22.90357142857143,22.40642857142857,22.232142857142858,22.125,22.215,22.21785714285714,22.295
2016-01-29,20.2,21.475,21.365714285714283,21.362499999999997,21.325,21.450714285714284,21.457142857142856,21.61357142857143
2016-02-01,19.98,21.364285714285714,21.225,21.17142857142857,21.160714285714285,21.27357142857143,21.325,21.538571428571426
2016-02-02,21.98,22.746428571428574,22.305,22.09642857142857,21.981250000000003,22.049285714285713,22.0,22.12357142857143
2016-02-03,21.65,22.367857142857144,22.112142857142857,21.956249999999997,21.880357142857143,21.952142857142857,21.896428571428572,22.048571428571428
2016-02-04,21.84,22.646428571428572,22.409285714285716,22.232142857142858,22.175,22.255,22.192857142857143,22.315
2016-02-05,23.38,23.31875,22.88285714285714,22.675,22.601785714285715,22.68285714285714,22.607142857142858,22.724285714285713
2016-02-08,26.0,24.28571428571429,23.627857142857142,23.25,23.054464285714285,23.114285714285714,22.932142857142857,23.075000000000003
2016-02-09,26.54,24.76964285714286,24.035,23.6375,23.475,23.475,23.275,23.46357142857143
2016-02-10,26.29,24.742857142857144,24.19,23.705357142857142,23.476428571428574,23.523571428571426,23.33,23.495
2016-02-11,28.14,25.85892857142857,25.30357142857143,24.742857142857144,24.47357142857143,24.45,24.23071428571429,24.325
2016-02-12,25.4,25.125,24.865714285714287,24.525,24.367857142857144,24.317857142857143,24.146428571428572,24.272321428571427
2016-02-16,24.11,23.826428571428572,23.873571428571427,23.72321428571429,23.68357142857143,23.714285714285715,23.61357142857143,23.801785714285714
2016-02-17,22.31,22.93357142857143,23.075,23.075,23.095,23.152678571428574,23.105,23.325
2016-02-18,21.64,22.832142857142856,23.176785714285714,23.21607142857143,23.209285714285716,23.29285714285714,23.220714285714287,23.375
2016-02-19,20.53,22.439285714285713,22.755357142857143,22.835714285714285,22.92,23.025,23.00785714285714,23.18125
2016-02-22,19.38,21.145,21.674107142857142,21.93125,22.119285714285713,22.285714285714285,22.352857142857143,22.564285714285717
2016-02-23,20.98,22.255,22.551785714285714,22.657142857142855,22.749285714285715,22.826785714285716,22.817857142857143,23.015178571428574
2016-02-24,20.72,21.895,22.16875,22.340178571428574,22.505,22.582142857142856,22.625,22.75357142857143
2016-02-25,19.11,21.047857142857143,21.517857142857142,21.854464285714286,22.103571428571428,22.228571428571428,22.30357142857143,22.50982142857143
2016-02-26,19.81,21.615000000000002,21.90535714285714,22.174999999999997,22.36642857142857,22.425,22.51214285714286,22.6875
2016-02-29,20.55,21.94642857142857,22.260714285714286,22.482142857142858,22.689285714285713,22.694642857142856,22.767857142857142,22.888392857142858
2016-03-01,17.7,19.83642857142857,20.557142857142857,21.025,21.384999999999998,21.49642857142857,21.685,21.853571428571428
2016-03-02,17.09,19.817857142857143,20.5,20.9625,21.279285714285713,21.383035714285715,21.579285714285714,21.73392857142857
2016-03-03,16.7,19.010714285714286,19.819642857142856,20.360714285714288,20.705,20.860714285714284,21.105,21.242857142857144
2016-03-04,16.86,19.585,20.310714285714283,20.7875,21.097857142857144,21.175,21.435,21.50625
2016-03-07,17.35,19.360714285714284,20.164285714285715,20.6,20.945,21.025,21.294999999999998,21.394642857142856
2016-03-08,18.67,20.315,20.925,21.271428571428572,21.525,21.554464285714285,21.81,21.854464285714286
2016-03-09,18.34,19.855,20.481250000000003,20.948214285714286,21.244285714285716,21.323214285714286,21.615000000000002,21.675
2016-03-10,18.05,19.702142857142857,20.317857142857143,20.810714285714283,21.125,21.22321428571429,21.525,21.647321428571427
2016-03-11,16.5,18.805,19.633928571428573,20.275,20.675714285714285,20.775,21.15214285714286,21.275
2016-03-14,16.92,18.585,19.40535714285714,19.987857142857145,20.412142857142857,20.56214285714286,20.962857142857143,21.079464285714284
2016-03-15,16.84,18.764285714285712,19.75,20.34785714285714,20.725,20.89785714285714,21.275,21.3625
2016-03-16,14.99,18.087285714285713,19.175,19.9,20.355357142857144,20.560714285714287,20.932142857142857,21.129464285714285
2016-03-17,14.44,17.67691176470588,18.849999999999998,19.619285714285713,20.089285714285715,20.33928571428571,20.666071428571428,20.875
2016-03-18,14.02,17.725,18.925,19.685,20.147321428571427,20.34,20.726785714285715,20.8625
2016-03-21,13.79,17.025000000000002,18.517857142857142,19.306428571428572,19.7875,20.033571428571427,20.448214285714286,20.646428571428572
2016-03-22,14.17,16.935714285714283,18.54642857142857,19.329285714285714,19.8125,20.040714285714287,20.43125,20.632142857142856
2016-03-23,14.94,17.992857142857144,19.387500000000003,20.06357142857143,20.45357142857143,20.662142857142857,20.975,21.089285714285715
2016-03-24,14.74,17.739285714285714,19.289285714285715,20.010714285714286,20.357142857142858,20.555,20.81517857142857,20.94642857142857
2016-03-28,15.24,17.5375,19.032142857142855,19.775,20.139285714285716,20.405,20.739285714285714,20.85
2016-03-29,13.82,16.575,18.242857142857144,19.00357142857143,19.46785714285714,19.789285714285715,20.179464285714285,20.34017857142857
2016-03-30,13.56,16.37232142857143,17.925,18.695,19.174999999999997,19.503571428571426,19.9,20.067857142857143
2016-03-31,13.95,16.65357142857143,18.05357142857143,18.79642857142857,19.182142857142857,19.58928571428571,19.958928571428572,20.10892857142857
2016-04-01,13.1,16.2375,17.660714285714285,18.445,18.839285714285715,19.255000000000003,19.646428571428572,19.84642857142857
2016-04-04,14.12,16.775,18.167857142857144,18.802142857142858,19.160714285714285,19.570714285714285,19.944642857142856,20.11875
2016-04-05,15.42,17.65892857142857,18.925,19.45357142857143,19.732142857142858,20.070714285714285,20.367857142857144,20.48392857142857
2016-04-06,14.09,16.65357142857143,18.1,18.807857142857145,19.1625,19.59642857142857,19.9125,20.036607142857143
2016-04-07,16.16,18.360714285714284,19.425,19.960714285714285,20.192857142857143,20.572142857142858,20.79285714285714,20.825
2016-04-08,15.36,17.99642857142857,19.182142857142857,19.765,20.039285714285715,20.415,20.64375,20.675
2016-04-11,16.26,18.537499999999998,19.72142857142857,20.230714285714285,20.417857142857144,20.75642857142857,21.010714285714286,20.975
2016-04-12,14.85,17.771428571428572,19.19107142857143,19.78214285714286,20.116071428571427,20.510714285714286,20.767857142857142,20.71857142857143
2016-04-13,13.84,17.001785714285717,18.625,19.355714285714285,19.675,20.146428571428572,20.425,20.447142857142858
2016-04-14,13.72,17.08928571428571,18.54785714285714,19.302142857142858,19.615000000000002,20.11,20.375,20.360714285714284
2016-04-15,13.62,16.991071428571427,18.520714285714288,19.275,19.55642857142857,20.075,20.326785714285712,20.32857142857143
2016-04-18,13.35,16.225,17.64642857142857,18.3875,18.814285714285717,19.361607142857146,19.701785714285716,19.794999999999998
2016-04-19,13.24,16.276785714285715,17.820714285714285,18.553571428571427,19.027857142857144,19.549999999999997,19.90714285714286,19.99285714285714
2016-04-20,13.28,16.53214285714286,18.095,18.8375,19.245,19.77857142857143,20.0625,20.123571428571427
2016-04-21,13.95,17.07857142857143,18.675,19.419642857142858,19.800714285714285,20.27857142857143,20.517857142857142,20.550714285714285
2016-04-22,13.22,16.571428571428573,18.269285714285715,19.075000000000003,19.516428571428573,20.0,20.273214285714285,20.325
2016-04-25,14.08,16.712500000000002,18.500714285714285,19.225,19.66357142857143,20.110714285714284,20.389285714285716,20.410714285714285
2016-04-26,13.96,16.525,18.377857142857142,19.103571428571428,19.579285714285714,20.021428571428572,20.30625,20.354285714285712
2016-04-27,13.77,16.166071428571428,18.025,18.79642857142857,19.265,19.75357142857143,20.012500000000003,20.01857142857143
2016-04-28,15.22,17.40357142857143,18.860714285714288,19.514285714285716,19.889285714285716,20.302678571428572,20.53035714285714,20.485714285714284
2016-04-29,15.7,17.925,19.340714285714284,19.924999999999997,20.280714285714286,20.65,20.84642857142857,20.795
2016-05-02,14.68,17.060714285714287,18.746428571428574,19.389285714285712,19.889285714285712,20.258928571428573,20.476785714285715,20.399285714285714
2016-05-03,15.6,17.939285714285713,19.465,19.99642857142857,20.425,20.767857142857142,20.946428571428573,20.84357142857143
2016-05-04,16.05,18.367857142857144,19.640714285714285,20.2125,20.639285714285712,20.994642857142857,21.15,21.00785714285714
2016-05-05,15.91,18.40357142857143,19.666428571428572,20.225,20.68642857142857,21.053571428571427,21.24285714285714,21.120714285714286
2016-05-06,14.72,17.675,19.179285714285715,19.775,20.32071428571429,20.71875,20.923214285714284,20.81
2016-05-09,14.57,17.478571428571428,18.989285714285714,19.62857142857143,20.187857142857144,20.639285714285716,20.864285714285714,20.73
2016-05-10,13.63,16.660714285714285,18.205000000000002,18.947321428571428,19.63,20.103571428571428,20.367857142857144,20.267857142857142
2016-05-11,14.69,17.807142857142857,18.969285714285714,19.59285714285714,20.163571428571426,20.646428571428572,20.85,20.708571428571428
2016-05-12,14.41,17.39464285714286,18.58928571428571,19.305357142857144,19.924999999999997,20.43482142857143,20.67,20.505
2016-05-13,15.04,18.075,19.159285714285716,19.675,20.335,20.775,20.965,20.8
2016-05-16,14.68,17.459285714285716,18.590714285714284,19.170714285714283,19.854285714285716,20.332142857142856,20.507142857142856,20.422321428571426
2016-05-17,15.57,18.075714285714287,19.325,19.814999999999998,20.475,20.889285714285712,21.044999999999998,20.926785714285714
2016-05-18,15.95,18.267857142857142,19.44107142857143,19.975,20.59107142857143,21.051785714285714,21.155,21.23035714285714
2016-05-19,16.33,18.20642857142857,19.360714285714284,19.945,20.557142857142857,21.00714285714286,21.125,21.30625
2016-05-20,15.2,17.65,19.06160714285714,19.724999999999998,20.414285714285715,20.8625,20.966428571428573,21.164285714285715
2016-05-23,15.82,17.91785714285714,19.1875,19.742857142857144,20.321428571428573,20.70357142857143,20.765714285714285,21.007142857142856
2016-05-24,14.42,16.925,18.375,19.030714285714286,19.75,20.165178571428573,20.240000000000002,20.58482142857143
2016-05-25,13.9,16.809285714285714,18.210714285714285,18.966428571428573,19.65357142857143,20.039285714285715,20.103571428571428,20.475
2016-05-26,13.43,16.567857142857143,18.05,18.840714285714284,19.519642857142856,19.89464285714286,19.952142857142857,20.380357142857143
2016-05-27,13.12,16.275,17.946428571428573,18.715,19.417857142857144,19.75,19.797857142857143,20.232142857142858
2016-05-31,14.19,16.217857142857145,17.84642857142857,18.61785714285714,19.31875,19.666964285714286,19.725,20.28482142857143
2016-06-01,14.2,16.303571428571427,17.9,18.640714285714285,19.35,19.710714285714285,19.745,20.314285714285717
2016-06-02,13.63,16.167857142857144,17.65714285714286,18.560714285714287,19.21964285714286,19.610714285714288,19.675,20.29375
2016-06-03,13.47,16.165,17.66785714285714,18.585,19.239285714285714,19.58214285714286,19.592142857142857,20.2625
2016-06-06,13.65,15.983571428571429,17.621428571428574,18.572142857142858,19.298214285714288,19.625,19.637857142857143,20.34375
2016-06-07,14.05,16.137857142857143,17.732142857142858,18.68285714285714,19.410714285714285,19.692857142857143,19.725,20.56875
2016-06-08,14.08,16.38642857142857,17.8125,18.830714285714286,19.525,19.839285714285715,19.835,20.75
2016-06-09,14.64,16.786428571428573,18.15714285714286,19.196428571428573,19.935714285714287,20.214285714285715,20.18357142857143,21.02410714285714
2016-06-10,17.03,18.245,19.164285714285715,19.985,20.62232142857143,20.79732142857143,20.692857142857143,21.539285714285715
2016-06-13,20.97,21.24214285714286,21.225,21.597857142857144,22.0,22.025,21.83642857142857,22.591964285714283
2016-06-14,20.5,20.832142857142856,20.947321428571428,21.314285714285713,21.712500000000002,21.719285714285714,21.530714285714286,22.323214285714286
2016-06-15,20.14,20.550142857142855,20.725,21.149285714285714,21.475,21.460714285714285,21.225,22.13125
2016-06-16,19.37,20.005735294117645,20.437857142857144,20.862142857142857,21.125,21.103571428571428,21.005357142857143,21.832142857142856
2016-06-17,19.41,20.075,20.500714285714288,20.925,21.225,21.190714285714286,21.085714285714285,21.875
2016-06-20,18.37,18.50357142857143,19.36785714285714,19.939285714285717,20.34285714285714,20.400000000000002,20.4875,21.196428571428573
2016-06-21,18.48,18.72142857142857,19.427857142857142,19.95,20.29642857142857,20.349285714285713,20.5125,21.213392857142857
2016-06-22,21.17,19.46964285714286,19.745,20.06517857142857,20.25,20.19,20.34642857142857,21.025
2016-06-23,17.25,16.87857142857143,17.80785714285714,18.542857142857144,19.046428571428574,19.24357142857143,19.620535714285715,20.336607142857144
2016-06-24,25.76,22.518749999999997,22.099285714285713,22.018749999999997,21.96785714285714,21.78,22.00625,22.389285714285716
2016-06-27,23.85,23.47142857142857,22.999285714285712,22.935714285714283,22.86785714285714,22.65357142857143,22.825000000000003,23.021428571428572
2016-06-28,18.75,19.035714285714285,19.625714285714285,20.20267857142857,20.617857142857144,20.679285714285715,21.13392857142857,21.646428571428572
2016-06-29,16.64,17.935714285714287,18.88,19.610714285714288,20.0375,20.109285714285715,20.646428571428572,21.16875
2016-06-30,15.63,17.601785714285715,18.72142857142857,19.49375,19.92232142857143,20.035714285714285,20.703571428571426,21.064285714285713
2016-07-01,14.77,17.5125,18.74142857142857,19.625,20.082142857142856,20.185,20.835714285714285,21.161607142857143
2016-07-05,15.58,17.628571428571426,18.925,19.696428571428573,20.14464285714286,20.162142857142857,20.8375,21.167857142857144
2016-07-06,14.96,17.117857142857144,18.544999999999998,19.425,19.939285714285713,20.05785714285714,20.82142857142857,21.09732142857143
2016-07-07,14.76,17.1125,18.460714285714285,19.4,19.90625,20.018571428571427,20.805357142857144,21.1
